City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,zaqatala,41.6336,46.6433,6.26,70,75,4.12,AZ,1710013636
153,minas de marcona,-15.2119,-75.1103,23.07,61,62,7.44,PE,1710013636
154,wailua homesteads,22.0669,-159.378,25.24,76,75,8.23,US,1710013636
155,aripuana,-9.1667,-60.6333,30.25,73,88,0.86,BR,1710013636
156,mahina,-17.5065,-149.489,29.87,66,75,3.6,PF,1710013637
157,badger,64.8,-147.5333,-13.34,76,100,0.0,US,1710013353
158,poyarkovo,49.6,128.6833,-14.65,95,98,2.24,RU,1710013638
159,weno,7.4515,151.8468,27.97,89,75,4.12,FM,1710013639
160,beni,0.5,29.4667,20.07,85,76,1.33,CD,1710013639
161,tamandare,-8.7597,-35.1047,28.78,72,80,4.09,BR,1710013640
162,ta`u,-14.2336,-169.5144,28.42,80,99,6.77,AS,1710013640
163,bikenibeu village,1.3673,173.1241,25.98,94,100,8.23,KI,1710013640
164,tuy hoa,13.0833,109.3,23.02,91,98,1.14,VN,1710013642
165,huangnihe,43.5583,128.0239,-8.43,55,1,1.93,CN,1710013642
166,trairi,-3.2778,-39.2689,27.85,81,98,3.34,BR,1710013609
167,mersa matruh,31.3525,27.2453,15.11,63,40,5.14,EG,1710013643
168,port alfred,-33.5906,26.891,23.43,93,72,1.34,ZA,1710013644
169,puerto baquerizo moreno,-0.9,-89.6,28.55,84,40,2.06,EC,1710013644
170,port saint john's,-31.6229,29.5448,23.13,84,1,5.41,ZA,1710013644
171,mount pleasant,32.7941,-79.8626,25.12,94,100,6.69,US,1710013645
172,antsiranana,-12.2787,49.2917,25.08,92,100,3.5,MG,1710013347
173,zhezqazghan,47.7833,67.7667,-0.41,90,100,7.52,KZ,1710013646
174,dennery,13.8996,-60.8879,31.07,78,20,6.17,LC,1710013647
175,colonia menno,-22.3667,-59.8167,40.61,28,100,6.49,PY,1710013668
176,nikel,69.4128,30.222,1.1,99,98,2.06,RU,1710013668
177,korla,41.7597,86.1469,4.86,45,3,1.16,CN,1710013676
178,celestun,20.8667,-90.4,28.63,72,11,6.19,MX,1710013677
179,puerto ayora,-0.7393,-90.3518,30.98,98,49,1.79,EC,1710013677
180,correntina,-13.3433,-44.6367,30.38,50,82,2.06,BR,1710013678
181,al kharijah,25.4514,30.5464,23.78,15,88,3.01,EG,1710013678
182,zaio,34.9428,-2.7329,10.99,79,100,11.68,MA,1710013678
183,avarua,-21.2078,-159.775,28.03,69,78,5.66,CK,1710013678
184,terenozek,45.05,64.9833,3.37,84,91,4.77,KZ,1710013679
185,ishikawa,26.4233,127.8214,14.98,68,40,3.6,JP,1710013679
186,mahdia,35.5047,11.0622,18.97,69,51,8.09,TN,1710013679
187,lata,40.1629,-8.3327,8.84,92,64,5.79,PT,1710013679
188,tongchuanshi,35.0806,109.0897,6.99,51,100,0.99,CN,1710013680
189,bac lieu,9.285,105.7244,26.34,76,96,5.64,VN,1710013680
190,labrador city,52.9463,-66.9114,1.21,34,100,6.17,CA,1710013680
191,dingwall,57.5953,-4.4272,6.15,84,100,5.14,GB,1710013681
192,al wakrah,24.85,51.3333,20.05,50,0,4.55,QA,1710013681
193,dudinka,69.4058,86.1778,-15.18,95,100,4.92,RU,1710013681
194,anadyr,64.75,177.4833,-24.72,84,40,2.0,RU,1710013681
195,ketchikan,55.3422,-131.6461,5.75,87,75,2.06,US,1710013682
196,medina,24.4686,39.6142,24.24,5,0,1.54,SA,1710013682
197,delice,39.9537,34.0259,2.74,93,99,2.13,TR,1710013682
198,uturoa,-16.7333,-151.4333,28.53,78,82,4.91,PF,1710013683
199,dogansehir,38.0919,37.8789,0.59,85,43,1.99,TR,1710013683
200,vernon,50.2581,-119.2691,7.35,62,100,1.03,CA,1710013683
201,tataouine,32.9297,10.4518,21.76,17,45,4.74,TN,1710013683
202,dapa,9.7594,126.0531,25.6,82,100,5.46,PH,1710013684
203,warmbaths,-24.8833,28.2833,24.49,46,0,2.78,ZA,1710013486
204,igra,57.5558,53.0547,-10.53,97,100,2.03,RU,1710013684
205,plastun,44.7561,136.2939,-8.69,76,4,2.22,RU,1710013685
206,evansville,37.9748,-87.5558,8.34,79,100,3.09,US,1710013615
207,ust-nera,64.5667,143.2,-29.86,100,100,1.66,RU,1710013685
208,vilyuysk,63.7553,121.6247,-19.44,99,99,0.89,RU,1710013686
209,hamilton,39.1834,-84.5333,8.33,82,100,6.71,US,1710013686
210,cao bang,22.6667,106.25,14.15,92,100,0.53,VN,1710013686
211,lihue,21.9789,-159.3672,25.58,76,75,8.23,US,1710013687
212,melfort,52.8667,-104.6177,-2.93,68,94,5.66,CA,1710013688
213,barentu,15.1139,37.5928,23.71,14,4,2.94,ER,1710013688
214,harper,4.375,-7.7169,27.67,85,11,2.61,LR,1710013689
215,nyurba,63.2842,118.3319,-17.79,97,99,2.68,RU,1710013689
216,dunedin,-45.8742,170.5036,13.78,65,79,1.58,NZ,1710013689
217,hillsborough,37.5741,-122.3794,17.68,68,75,4.63,US,1710013350
218,christchurch,-43.5333,172.6333,13.56,83,100,3.6,NZ,1710013631
219,punta arenas,-53.15,-70.9167,11.06,66,75,10.29,CL,1710013583
220,carnarvon,-24.8667,113.6333,25.04,58,0,8.26,AU,1710013691
221,egilsstadir,65.2653,-14.3948,2.95,75,75,4.12,IS,1710013691
222,kapa'a,22.0752,-159.319,25.99,76,75,8.23,US,1710013691
223,portstewart,55.1813,-6.714,7.4,78,100,9.22,GB,1710013691
224,emerald,-23.5333,148.1667,20.75,75,41,7.37,AU,1710013692
225,rio preto da eva,-2.6994,-59.6997,27.0,79,100,1.55,BR,1710013692
226,speichersdorf,49.8833,11.7833,7.77,72,90,3.17,DE,1710013692
227,tamanrasset,22.785,5.5228,19.95,8,0,6.17,DZ,1710013693
228,cadale,2.7603,46.3222,27.52,73,0,8.16,SO,1710013693
229,lae,-6.7221,146.9847,25.36,89,98,3.87,PG,1710013693
230,sena madureira,-9.0656,-68.6569,32.92,56,100,1.37,BR,1710013694
231,omdurman,15.6445,32.4777,30.27,9,4,4.8,SD,1710013694
232,karatau,43.1667,70.4667,7.67,84,100,3.3,KZ,1710013694
233,nevel'sk,46.6733,141.8633,-10.39,73,22,1.38,RU,1710013695
234,bonthe,7.5264,-12.505,26.56,85,12,3.84,SL,1710013695
235,batang,-6.4846,110.7083,26.56,85,100,7.05,ID,1710013695
236,margaret river,-33.95,115.0667,10.45,84,0,3.93,AU,1710013695
237,mount gambier,-37.8333,140.7667,18.96,79,66,2.02,AU,1710013696
238,port augusta,-32.5,137.7667,28.42,29,0,5.38,AU,1710013653
239,kastsyukovichy,53.3516,32.0506,-2.82,76,52,0.78,BY,1710013696
240,dondo,-19.6094,34.7431,29.73,81,0,3.39,MZ,1710013697
241,sisimiut,66.9395,-53.6735,-19.51,90,54,3.23,GL,1710013697
242,dolni dabnik,43.4,24.4333,6.9,76,20,0.0,BG,1710013697
243,inderbor,48.55,51.7833,-0.79,95,100,4.86,KZ,1710013698
244,kourou,5.1552,-52.6478,30.03,65,99,3.28,GF,1710013698
245,kosonsoy,41.2561,71.5508,6.31,67,100,1.76,UZ,1710013698
246,magistral'nyy,56.1725,107.4458,-16.46,99,100,1.16,RU,1710013699
247,nikolayevsk-on-amure,53.1406,140.73,-14.7,98,100,1.47,RU,1710013699
248,touros,-5.1989,-35.4608,28.55,71,72,5.66,BR,1710013700
249,kailua-kona,19.6406,-155.9956,26.44,77,20,4.12,US,1710013700
250,chibougamau,49.9168,-74.3659,-0.21,80,100,5.66,CA,1710013700
251,bastrop,32.7562,-91.8724,12.99,75,100,3.6,US,1710013700
252,grand gaube,-20.0064,57.6608,27.22,92,1,0.89,MU,1710013701
253,fada,9.5667,8.3,28.46,44,93,1.72,NG,1710013701
254,menzel kamel,35.6248,10.6673,18.69,59,0,5.14,TN,1710013701
255,deqen,29.9618,90.7188,-2.97,18,0,2.89,CN,1710013702
256,colon,9.3592,-79.9014,28.32,66,66,4.02,PA,1710013702
257,hatvan,47.6667,19.6833,9.58,74,99,3.5,HU,1710013702
258,charleston,32.7766,-79.9309,25.13,93,100,8.23,US,1710013149
259,narrabri,-30.3167,149.7833,18.62,71,0,2.95,AU,1710013703
260,kimberley,-28.7323,24.7623,20.83,32,0,0.51,ZA,1710013508
261,pamanukan,-6.2842,107.8106,24.62,88,100,3.0,ID,1710013703
262,port elizabeth,-33.918,25.5701,22.4,90,20,4.12,ZA,1710013703
263,taltal,-25.4,-70.4833,22.38,68,47,3.05,CL,1710013220
264,amahai,-3.3333,128.9167,26.09,88,100,2.68,ID,1710013704
265,tindouf,27.6711,-8.1474,20.25,45,0,9.77,DZ,1710013704
266,arraial do cabo,-22.9661,-42.0278,28.98,74,75,8.23,BR,1710013705
267,gaspe,48.8334,-64.4819,4.12,26,40,6.17,CA,1710013705
268,aasiaat,68.7098,-52.8699,-20.01,97,98,1.4,GL,1710013705
269,kostyantynivka,48.5277,37.7069,-0.1,80,75,0.66,UA,1710013706
270,ca mau,9.1769,105.15,25.63,77,100,3.38,VN,1710013706
271,pisco,-13.7,-76.2167,27.23,61,0,4.12,PE,1710013452
272,thompson,55.7435,-97.8558,-1.91,46,20,3.09,CA,1710013706
273,jalilabad,39.2096,48.4919,7.06,99,100,1.35,AZ,1710013707
274,pulaski,34.7668,-92.3001,14.23,65,75,5.36,US,1710013707
275,yefremov,53.1481,38.0992,-8.78,96,100,1.8,RU,1710013707
276,happy valley-goose bay,53.3168,-60.3315,-6.83,49,75,2.06,CA,1710013707
277,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,85,75,3.58,RU,1710013708
278,mata-utu,-13.2816,-176.1745,28.86,69,9,2.4,WF,1710013708
279,codrington,-38.2667,141.9667,20.15,77,100,2.66,AU,1710013708
280,maddagiri,13.6606,77.2092,27.35,39,98,5.79,IN,1710013709
281,selfoss,63.9331,-20.9971,4.47,82,99,2.88,IS,1710013709
282,bhimunipatnam,17.8833,83.4333,26.73,82,6,0.29,IN,1710013709
283,east ridge,35.0142,-85.2519,18.84,78,75,7.72,US,1710013710
284,aldinga beach,-35.2793,138.4604,29.69,42,9,3.32,AU,1710013710
285,afaahiti,-17.75,-149.2833,28.93,83,100,5.97,PF,1710013710
286,tiksi,71.6872,128.8694,-32.8,100,70,1.15,RU,1710013711
287,oranjemund,-28.55,16.4333,17.4,85,0,4.81,NA,1710013711
288,damghan,36.1683,54.348,8.92,49,0,1.65,IR,1710013711
289,cestos city,5.46,-9.5828,27.71,83,100,2.76,LR,1710013712
290,queenstown,-31.8976,26.8753,17.06,92,0,1.07,ZA,1710013712
291,mossel bay,-34.1831,22.146,17.96,85,0,1.5,ZA,1710013713
292,nova vicosa,-17.8919,-39.3719,28.05,71,68,3.9,BR,1710013713
293,gamba,-2.65,10.0,26.76,84,96,4.71,GA,1710013713
294,pulandian,39.3953,121.9669,0.11,79,0,1.55,CN,1710013714
295,kingston,17.997,-76.7936,32.31,65,20,7.72,JM,1710013419
296,blatna,49.4249,13.8818,7.68,92,73,3.5,CZ,1710013714
297,rupert,42.6191,-113.6772,-0.03,64,0,6.69,US,1710013714
298,paita,-5.0892,-81.1144,27.87,65,100,6.83,PE,1710013715
299,bubaque,11.2833,-15.8333,25.36,71,7,7.45,GW,1710013715
300,suncho corral,-27.9336,-63.4294,38.82,36,50,5.42,AR,1710013715
301,amloh,30.6084,76.2319,14.23,47,99,3.03,IN,1710013716
302,castillos,-34.1667,-53.8333,28.79,61,22,6.85,UY,1710013716
303,shixing,24.9482,114.0657,11.45,95,96,0.76,CN,1710013716
304,northam,51.0333,-4.2167,8.67,89,100,7.07,GB,1710013716
305,terbuny,52.1389,38.2789,-5.76,96,100,1.98,RU,1710013717
306,gabarin,11.1093,10.4441,31.63,26,72,1.67,NG,1710013717
307,sungailiat,-1.85,106.1333,25.44,88,100,2.41,ID,1710013717
308,la passe,45.5549,-0.8967,8.34,92,32,3.06,FR,1710013717
309,ad darb,17.7229,42.2526,26.74,61,2,1.96,SA,1710013718
310,jepelacio,-6.1167,-76.95,25.57,79,100,1.14,PE,1710013718
311,namibe,-15.1961,12.1522,24.64,84,100,3.39,AO,1710013718
312,lucapa,-8.4192,20.7447,20.48,95,91,0.85,AO,1710013719
313,jonquiere,48.4165,-71.2488,5.06,51,100,4.63,CA,1710013716
314,port blair,11.6667,92.75,27.02,78,40,1.03,IN,1710013719
315,st. john's,47.5649,-52.7093,-0.47,93,100,14.4,CA,1710013518
316,kerikeri,-35.2268,173.9474,18.18,82,87,5.3,NZ,1710013720
317,vitebsk,55.1905,30.2033,-2.54,75,64,1.99,BY,1710013720
318,east london,-33.0153,27.9116,23.25,84,11,3.93,ZA,1710013720
319,zhuanghe,39.7008,122.9911,-0.17,81,0,1.24,CN,1710013721
320,dalbandin,28.8947,64.4101,18.3,66,99,2.92,PK,1710013721
321,al qaryatayn,34.2296,37.2407,8.67,75,0,1.48,SY,1710013721
322,nogliki,51.8333,143.1667,-17.03,99,86,2.24,RU,1710013722
323,eilat,29.5581,34.9482,19.91,28,79,0.0,IL,1710013722
324,palembang,-2.9167,104.7458,25.05,100,40,2.06,ID,1710013723
325,vordingborg,55.008,11.9106,3.32,100,86,11.69,DK,1710013724
326,kattivakkam,13.2167,80.3167,28.05,74,2,3.66,IN,1710013724
327,zhalantun,48.0,122.7167,-9.73,82,78,2.79,CN,1710013724
328,okhotsk,59.3833,143.3,-22.66,96,52,3.17,RU,1710013725
329,kavaratti,10.5669,72.642,27.92,71,5,4.97,IN,1710013725
330,bereeda,11.8704,51.0579,26.39,78,60,2.22,SO,1710013725
331,sagua la grande,22.8067,-80.0756,32.55,43,40,3.16,CU,1710013726
332,lerwick,60.1545,-1.1494,5.0,73,22,7.5,GB,1710013726
333,mogadishu,2.0371,45.3438,27.43,74,4,7.81,SO,1710013726
334,hilo,19.7297,-155.09,24.6,91,100,1.79,US,1710013727
335,kayangel,8.0823,134.7173,27.23,80,100,8.69,PW,1710013727
336,rundu,-17.9333,19.7667,20.07,93,100,2.19,NA,1710013727
337,pacific grove,36.6177,-121.9166,17.16,69,40,3.13,US,1710013499
